AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,Consumer Services,Catalog/Specialty Distribution
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
TSLA,Tesla Inc. Common Stock,Capital Goods,Auto Manufacturing
FB,Facebook Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Miscellaneous,Business Services
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors
V,Visa Inc.,Miscellaneous,Business Services
JNJ,Johnson & Johnson Common Stock,Health Care,Major Pharmaceuticals
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks
WMT,Walmart Inc. Common Stock,Consumer Services,Department/Specialty Retail Stores
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors
DIS,Walt Disney Company (The) Common Stock,Consumer Services,Services-Misc. Amusement & Recreation
MA,Mastercard Incorporated Common Stock,Miscellaneous,Business Services
PYPL,PayPal Holdings Inc. Common Stock,Miscellaneous,Business Services
PG,Procter & Gamble Company (The) Common Stock,Basic Industries,Package Goods/Cosmetics
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,Medical Specialities
HD,Home Depot Inc. (The) Common Stock,Consumer Services,RETAIL: Building Materials
BAC,Bank of America Corporation Common Stock,Finance,Major Banks
NFLX,Netflix Inc. Common Stock,Consumer Services,Consumer Electronics/Video Chains
INTC,Intel Corporation Common Stock,Technology,Semiconductors
CMCSA,Comcast Corporation Class A Common Stock,Consumer Services,Television Services
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
PDD,Pinduoduo Inc. American Depositary Shares,Miscellaneous,Business Services
VZ,Verizon Communications Inc. Common Stock,Public Utilities,Telecommunications Equipment
NKE,Nike Inc. Common Stock,Consumer Non-Durables,Shoe Manufacturing
ABT,Abbott Laboratories Common Stock,Health Care,Major Pharmaceuticals
XOM,Exxon Mobil Corporation Common Stock,Energy,Integrated oil Companies
CRM,Salesforce.com Inc Common Stock,Technology,Computer Software: Prepackaged Software
KO,Coca-Cola Company (The) Common Stock,Consumer Non-Durables,Beverages (Production/Distribution)
TM,Toyota Motor Corporation Common Stock,Capital Goods,Auto Manufacturing
CSCO,Cisco Systems Inc. Common Stock (DE),Technology,Computer Communications Equipment
NVS,Novartis AG Common Stock,Health Care,Major Pharmaceuticals
T,AT&T Inc.,Public Utilities,Telecommunications Equipment
LLY,Eli Lilly and Company Common Stock,Health Care,Major Pharmaceuticals
TMO,Thermo Fisher Scientific Inc Common Stock,Capital Goods,Industrial Machinery/Components
PEP,PepsiCo Inc. Common Stock,Consumer Non-Durables,Beverages (Production/Distribution)
PFE,Pfizer Inc. Common Stock,Health Care,Major Pharmaceuticals
